repetition,strategy_index,strategy,accuracy,queries_used,iterations,accuracy_per_question
97.0,3.0,S_W,0.6,10.0,5.0,0.06
97.0,4.0,S_NW,0.6,9.0,4.0,0.06666666666666667
97.0,5.0,S_B,0.54,8.0,3.0,0.0675
97.0,6.0,S_NB,0.48,9.0,4.0,0.05333333333333333
97.0,7.0,S_EIG,0.6,9.0,4.0,0.06666666666666667
97.0,8.0,S_NEIG,0.54,10.0,5.0,0.054000000000000006
97.0,9.0,S_DU,0.5,11.0,6.0,0.045454545454545456
97.0,10.0,S_NDU,0.62,14.0,9.0,0.04428571428571428
97.0,11.0,S_DC,0.58,11.0,6.0,0.05272727272727273
97.0,12.0,S_NDC,0.48,9.0,4.0,0.05333333333333333
98.0,0.0,random,0.44,9.0,4.0,0.04888888888888889
98.0,1.0,S_E,0.7,14.0,9.0,0.049999999999999996
98.0,2.0,S_NE,0.64,11.0,6.0,0.05818181818181818
98.0,3.0,S_W,0.64,8.0,3.0,0.08
98.0,4.0,S_NW,0.6,9.0,4.0,0.06666666666666667
98.0,5.0,S_B,0.58,13.0,8.0,0.04461538461538461
98.0,6.0,S_NB,0.6,12.0,7.0,0.049999999999999996
98.0,7.0,S_EIG,0.6,11.0,6.0,0.05454545454545454
98.0,8.0,S_NEIG,0.54,10.0,5.0,0.054000000000000006
98.0,9.0,S_DU,0.54,9.0,4.0,0.060000000000000005
98.0,10.0,S_NDU,0.58,8.0,3.0,0.0725
98.0,11.0,S_DC,0.62,9.0,4.0,0.06888888888888889
98.0,12.0,S_NDC,0.68,8.0,3.0,0.085
99.0,0.0,random,0.78,14.0,9.0,0.055714285714285716
99.0,1.0,S_E,0.66,10.0,5.0,0.066
99.0,2.0,S_NE,0.72,13.0,8.0,0.05538461538461538
99.0,3.0,S_W,0.66,10.0,5.0,0.066
99.0,4.0,S_NW,0.4,9.0,4.0,0.044444444444444446
99.0,5.0,S_B,0.56,8.0,3.0,0.07
99.0,6.0,S_NB,0.62,11.0,6.0,0.056363636363636366
99.0,7.0,S_EIG,0.58,11.0,6.0,0.05272727272727273
99.0,8.0,S_NEIG,0.68,12.0,7.0,0.05666666666666667
99.0,9.0,S_DU,0.66,9.0,4.0,0.07333333333333333
99.0,10.0,S_NDU,0.72,11.0,6.0,0.06545454545454545
99.0,11.0,S_DC,0.64,9.0,4.0,0.07111111111111111
99.0,12.0,S_NDC,0.58,8.0,3.0,0.0725
